description,cleansing,case_folding,tokenize,filtering/stopword removal,stemming_data
Jujur saya orang sulawesi selatan yg sebenarnya sangat tidak menyetujui pembangunan seperti ini yg menimbul laut hanya karna memperindah suatu kawasan.karna kasihan mereka yg hidup di pinggir laut yg swmakin lama wilayah mereka semakin tergerus atau mengalami abrasi.jangan hanya karna kepentingan suatu wilayah akhirnya mwngorbankan banyak wilayah lain.sungguh pemerintahan yg otaknya sudah melampaui batas.,Jujur saya orang sulawesi selatan yg sebenarnya sangat tidak menyetujui pembangunan seperti ini yg menimbul laut hanya karna memperindah suatu kawasankarna kasihan mereka yg hidup di pinggir laut yg swmakin lama wilayah mereka semakin tergerus atau mengalami abrasijangan hanya karna kepentingan suatu wilayah akhirnya mwngorbankan banyak wilayah lainsungguh pemerintahan yg otaknya sudah melampaui batas,jujur saya orang sulawesi selatan yg sebenarnya sangat tidak menyetujui pembangunan seperti ini yg menimbul laut hanya karna memperindah suatu kawasankarna kasihan mereka yg hidup di pinggir laut yg swmakin lama wilayah mereka semakin tergerus atau mengalami abrasijangan hanya karna kepentingan suatu wilayah akhirnya mwngorbankan banyak wilayah lainsungguh pemerintahan yg otaknya sudah melampaui batas,"['jujur', 'saya', 'orang', 'sulawesi', 'selatan', 'yg', 'sebenarnya', 'sangat', 'tidak', 'menyetujui', 'pembangunan', 'seperti', 'ini', 'yg', 'menimbul', 'laut', 'hanya', 'karna', 'memperindah', 'suatu', 'kawasankarna', 'kasihan', 'mereka', 'yg', 'hidup', 'di', 'pinggir', 'laut', 'yg', 'swmakin', 'lama', 'wilayah', 'mereka', 'semakin', 'tergerus', 'atau', 'mengalami', 'abrasijangan', 'hanya', 'karna', 'kepentingan', 'suatu', 'wilayah', 'akhirnya', 'mwngorbankan', 'banyak', 'wilayah', 'lainsungguh', 'pemerintahan', 'yg', 'otaknya', 'sudah', 'melampaui', 'batas']","['jujur', 'orang', 'sulawesi', 'selatan', 'yg', 'menyetujui', 'pembangunan', 'yg', 'menimbul', 'laut', 'karna', 'memperindah', 'kawasankarna', 'kasihan', 'yg', 'hidup', 'pinggir', 'laut', 'yg', 'swmakin', 'wilayah', 'tergerus', 'mengalami', 'abrasijangan', 'karna', 'kepentingan', 'wilayah', 'mwngorbankan', 'wilayah', 'lainsungguh', 'pemerintahan', 'yg', 'otaknya', 'melampaui', 'batas']",jujur orang sulawesi selatan yg tuju bangun yg timbul laut karna indah kawasankarna kasihan yg hidup pinggir laut yg swmakin wilayah gerus alami abrasijangan karna penting wilayah mwngorbankan wilayah lainsungguh perintah yg otak lampau batas
Yap benar sekali Reklamasi cpi dibuat bertujuan utk menanggul air laut yang terus naik jaga² kalo bencana air rob tiba² naik kepermukaan menimbulkan bencana,Yap benar sekali Reklamasi cpi dibuat bertujuan utk menanggul air laut yang terus naik jaga kalo bencana air rob tiba naik kepermukaan menimbulkan bencana,yap benar sekali reklamasi cpi dibuat bertujuan utk menanggul air laut yang terus naik jaga kalo bencana air rob tiba naik kepermukaan menimbulkan bencana,"['yap', 'benar', 'sekali', 'reklamasi', 'cpi', 'dibuat', 'bertujuan', 'utk', 'menanggul', 'air', 'laut', 'yang', 'terus', 'naik', 'jaga', 'kalo', 'bencana', 'air', 'rob', 'tiba', 'naik', 'kepermukaan', 'menimbulkan', 'bencana']","['yap', 'reklamasi', 'cpi', 'bertujuan', 'utk', 'menanggul', 'air', 'laut', 'jaga', 'kalo', 'bencana', 'air', 'rob', 'kepermukaan', 'menimbulkan', 'bencana']",yap reklamasi cpi tuju utk tanggul air laut jaga kalo bencana air rob muka timbul bencana
"Klw saya orang makassar asli setuju saja dgn pembangunan /reklamasi ini ,,salah satunya CPI yg bisa menyediakan lahan kota makssar yg lebih luas serta akan menarik byk investor ke makassar, yg kedua reklamasi jg membentuk pelabuhan baru Makassar new port yaitu pelabuhan internasional terbesar ke 2 indonesia.. itu semua berkat tanah reklamasi,, Saya dukung sja selagi iti membuat kota makassar menjadi maju👍",Klw saya orang makassar asli setuju saja dgn pembangunan reklamasi ini salah satunya CPI yg bisa menyediakan lahan kota makssar yg lebih luas serta akan menarik byk investor ke makassar yg kedua reklamasi jg membentuk pelabuhan baru Makassar new port yaitu pelabuhan internasional terbesar ke  indonesia itu semua berkat tanah reklamasi Saya dukung sja selagi iti membuat kota makassar menjadi maju,klw saya orang makassar asli setuju saja dgn pembangunan reklamasi ini salah satunya cpi yg bisa menyediakan lahan kota makssar yg lebih luas serta akan menarik byk investor ke makassar yg kedua reklamasi jg membentuk pelabuhan baru makassar new port yaitu pelabuhan internasional terbesar ke  indonesia itu semua berkat tanah reklamasi saya dukung sja selagi iti membuat kota makassar menjadi maju,"['klw', 'saya', 'orang', 'makassar', 'asli', 'setuju', 'saja', 'dgn', 'pembangunan', 'reklamasi', 'ini', 'salah', 'satunya', 'cpi', 'yg', 'bisa', 'menyediakan', 'lahan', 'kota', 'makssar', 'yg', 'lebih', 'luas', 'serta', 'akan', 'menarik', 'byk', 'investor', 'ke', 'makassar', 'yg', 'kedua', 'reklamasi', 'jg', 'membentuk', 'pelabuhan', 'baru', 'makassar', 'new', 'port', 'yaitu', 'pelabuhan', 'internasional', 'terbesar', 'ke', 'indonesia', 'itu', 'semua', 'berkat', 'tanah', 'reklamasi', 'saya', 'dukung', 'sja', 'selagi', 'iti', 'membuat', 'kota', 'makassar', 'menjadi', 'maju']","['klw', 'orang', 'makassar', 'asli', 'setuju', 'dgn', 'pembangunan', 'reklamasi', 'salah', 'satunya', 'cpi', 'yg', 'menyediakan', 'lahan', 'kota', 'makssar', 'yg', 'luas', 'menarik', 'byk', 'investor', 'makassar', 'yg', 'reklamasi', 'jg', 'membentuk', 'pelabuhan', 'makassar', 'new', 'port', 'pelabuhan', 'internasional', 'terbesar', 'indonesia', 'berkat', 'tanah', 'reklamasi', 'dukung', 'sja', 'selagi', 'iti', 'kota', 'makassar', 'maju']",klw orang makassar asli tuju dgn bangun reklamasi salah satu cpi yg sedia lahan kota makssar yg luas tarik byk investor makassar yg reklamasi jg bentuk labuh makassar new port labuh internasional besar indonesia berkat tanah reklamasi dukung sja selagi iti kota makassar maju
"Saya cukup lama berada di kota Daeng, waktu saya kuliah di sana, Pantai Losari masih merupakan meja semen panjang tempat kami menikmati suasana malam dengan makanan khas Makassar yg ketika itu bernama Ujung Pandang. Pisang Epe tdk akan terlupakan, Coto Mangkasara yg enak. Saya setuju jika pembangunan di Makassar lebih ditingkatkan lagi, termasuk Reklamasi, namun harus sesuai AMDAL.",Saya cukup lama berada di kota Daeng waktu saya kuliah di sana Pantai Losari masih merupakan meja semen panjang tempat kami menikmati suasana malam dengan makanan khas Makassar yg ketika itu bernama Ujung Pandang Pisang Epe tdk akan terlupakan Coto Mangkasara yg enak Saya setuju jika pembangunan di Makassar lebih ditingkatkan lagi termasuk Reklamasi namun harus sesuai AMDAL,saya cukup lama berada di kota daeng waktu saya kuliah di sana pantai losari masih merupakan meja semen panjang tempat kami menikmati suasana malam dengan makanan khas makassar yg ketika itu bernama ujung pandang pisang epe tdk akan terlupakan coto mangkasara yg enak saya setuju jika pembangunan di makassar lebih ditingkatkan lagi termasuk reklamasi namun harus sesuai amdal,"['saya', 'cukup', 'lama', 'berada', 'di', 'kota', 'daeng', 'waktu', 'saya', 'kuliah', 'di', 'sana', 'pantai', 'losari', 'masih', 'merupakan', 'meja', 'semen', 'panjang', 'tempat', 'kami', 'menikmati', 'suasana', 'malam', 'dengan', 'makanan', 'khas', 'makassar', 'yg', 'ketika', 'itu', 'bernama', 'ujung', 'pandang', 'pisang', 'epe', 'tdk', 'akan', 'terlupakan', 'coto', 'mangkasara', 'yg', 'enak', 'saya', 'setuju', 'jika', 'pembangunan', 'di', 'makassar', 'lebih', 'ditingkatkan', 'lagi', 'termasuk', 'reklamasi', 'namun', 'harus', 'sesuai', 'amdal']","['kota', 'daeng', 'kuliah', 'pantai', 'losari', 'meja', 'semen', 'menikmati', 'suasana', 'malam', 'makanan', 'khas', 'makassar', 'yg', 'bernama', 'ujung', 'pandang', 'pisang', 'epe', 'tdk', 'terlupakan', 'coto', 'mangkasara', 'yg', 'enak', 'setuju', 'pembangunan', 'makassar', 'ditingkatkan', 'reklamasi', 'sesuai', 'amdal']",kota daeng kuliah pantai losari meja semen nikmat suasana malam makan khas makassar yg nama ujung pandang pisang epe tdk lupa coto mangkasara yg enak tuju bangun makassar tingkat reklamasi sesuai amdal
"​@@celebesewako6816, Ada lagi si sirik tanda tak mampu.. ,pasti kamu senang dengan komentar seperti diatas.. karna di sisi inilah kamu sirik dengan Makassar... Karna kotamu TDK bisa bikin seperti itu.. 😅😅",celebesewako Ada lagi si sirik tanda tak mampu pasti kamu senang dengan komentar seperti diatas karna di sisi inilah kamu sirik dengan Makassar Karna kotamu TDK bisa bikin seperti itu ,celebesewako ada lagi si sirik tanda tak mampu pasti kamu senang dengan komentar seperti diatas karna di sisi inilah kamu sirik dengan makassar karna kotamu tdk bisa bikin seperti itu ,"['celebesewako', 'ada', 'lagi', 'si', 'sirik', 'tanda', 'tak', 'mampu', 'pasti', 'kamu', 'senang', 'dengan', 'komentar', 'seperti', 'diatas', 'karna', 'di', 'sisi', 'inilah', 'kamu', 'sirik', 'dengan', 'makassar', 'karna', 'kotamu', 'tdk', 'bisa', 'bikin', 'seperti', 'itu']","['celebesewako', 'si', 'sirik', 'tanda', 'senang', 'komentar', 'diatas', 'karna', 'sisi', 'sirik', 'makassar', 'karna', 'kotamu', 'tdk', 'bikin']",celebesewako si sirik tanda senang komentar atas karna sisi sirik makassar karna kota tdk bikin
Normal ada yang setuju ada yang tidak.. kalo saya sangat setuju pake banget lagi.. ! Apalagi kalo di kelolah dengan baik pasti Makassar bakal tambah keren. Sayangnya pemprov dan Pemkot mkaassar TDK bisa memanfaatkan posisi Makassar sebagai daerah transit. Bisa di bikin seperti Singapore dan Dubai.,Normal ada yang setuju ada yang tidak kalo saya sangat setuju pake banget lagi  Apalagi kalo di kelolah dengan baik pasti Makassar bakal tambah keren Sayangnya pemprov dan Pemkot mkaassar TDK bisa memanfaatkan posisi Makassar sebagai daerah transit Bisa di bikin seperti Singapore dan Dubai,normal ada yang setuju ada yang tidak kalo saya sangat setuju pake banget lagi  apalagi kalo di kelolah dengan baik pasti makassar bakal tambah keren sayangnya pemprov dan pemkot mkaassar tdk bisa memanfaatkan posisi makassar sebagai daerah transit bisa di bikin seperti singapore dan dubai,"['normal', 'ada', 'yang', 'setuju', 'ada', 'yang', 'tidak', 'kalo', 'saya', 'sangat', 'setuju', 'pake', 'banget', 'lagi', 'apalagi', 'kalo', 'di', 'kelolah', 'dengan', 'baik', 'pasti', 'makassar', 'bakal', 'tambah', 'keren', 'sayangnya', 'pemprov', 'dan', 'pemkot', 'mkaassar', 'tdk', 'bisa', 'memanfaatkan', 'posisi', 'makassar', 'sebagai', 'daerah', 'transit', 'bisa', 'di', 'bikin', 'seperti', 'singapore', 'dan', 'dubai']","['normal', 'setuju', 'kalo', 'setuju', 'pake', 'banget', 'kalo', 'kelolah', 'makassar', 'keren', 'sayangnya', 'pemprov', 'pemkot', 'mkaassar', 'tdk', 'memanfaatkan', 'posisi', 'makassar', 'daerah', 'transit', 'bikin', 'singapore', 'dubai']",normal tuju kalo tuju pake banget kalo kelolah makassar keren sayang pemprov pemkot mkaassar tdk manfaat posisi makassar daerah transit bikin singapore dubai
terbaiklah Makassar Malaysia 🎉,terbaiklah Makassar Malaysia ,terbaiklah makassar malaysia ,"['terbaiklah', 'makassar', 'malaysia']","['terbaiklah', 'makassar', 'malaysia']",baik makassar malaysia
"Reklamasi Jakarta itu atas inisiatif siapa ? Apakah inisiatif naga sembilan yang ingin menguasai NKRI ? Kevuali ingin memindahkan rakyat pribumi yanf kumuh di DKI yang hidup di gang gang kelinci yang padat, kumuh dan tidak sehat , kalau itu sayasetuju, tapi hanya untuk orang2 china yang bedol desa dari china sana tentu itu hanya penjajahan terhadsp NKRI ! Jangan sampai NKRI ini dijajah terus oleh bangsa aasing..!!!",Reklamasi Jakarta itu atas inisiatif siapa  Apakah inisiatif naga sembilan yang ingin menguasai NKRI  Kevuali ingin memindahkan rakyat pribumi yanf kumuh di DKI yang hidup di gang gang kelinci yang padat kumuh dan tidak sehat  kalau itu sayasetuju tapi hanya untuk orang china yang bedol desa dari china sana tentu itu hanya penjajahan terhadsp NKRI  Jangan sampai NKRI ini dijajah terus oleh bangsa aasing,reklamasi jakarta itu atas inisiatif siapa  apakah inisiatif naga sembilan yang ingin menguasai nkri  kevuali ingin memindahkan rakyat pribumi yanf kumuh di dki yang hidup di gang gang kelinci yang padat kumuh dan tidak sehat  kalau itu sayasetuju tapi hanya untuk orang china yang bedol desa dari china sana tentu itu hanya penjajahan terhadsp nkri  jangan sampai nkri ini dijajah terus oleh bangsa aasing,"['reklamasi', 'jakarta', 'itu', 'atas', 'inisiatif', 'siapa', 'apakah', 'inisiatif', 'naga', 'sembilan', 'yang', 'ingin', 'menguasai', 'nkri', 'kevuali', 'ingin', 'memindahkan', 'rakyat', 'pribumi', 'yanf', 'kumuh', 'di', 'dki', 'yang', 'hidup', 'di', 'gang', 'gang', 'kelinci', 'yang', 'padat', 'kumuh', 'dan', 'tidak', 'sehat', 'kalau', 'itu', 'sayasetuju', 'tapi', 'hanya', 'untuk', 'orang', 'china', 'yang', 'bedol', 'desa', 'dari', 'china', 'sana', 'tentu', 'itu', 'hanya', 'penjajahan', 'terhadsp', 'nkri', 'jangan', 'sampai', 'nkri', 'ini', 'dijajah', 'terus', 'oleh', 'bangsa', 'aasing']","['reklamasi', 'jakarta', 'inisiatif', 'inisiatif', 'naga', 'sembilan', 'menguasai', 'nkri', 'kevuali', 'memindahkan', 'rakyat', 'pribumi', 'yanf', 'kumuh', 'dki', 'hidup', 'gang', 'gang', 'kelinci', 'padat', 'kumuh', 'sehat', 'sayasetuju', 'orang', 'china', 'bedol', 'desa', 'china', 'penjajahan', 'terhadsp', 'nkri', 'nkri', 'dijajah', 'bangsa', 'aasing']",reklamasi jakarta inisiatif inisiatif naga sembilan kuasa nkri kevuali pindah rakyat pribumi yanf kumuh dki hidup gang gang kelinci padat kumuh sehat sayasetuju orang china bedol desa china jajah terhadsp nkri nkri jajah bangsa aasing
"benci bgt gw lihat masjid orange itu, masjid koq modelnya kaya kuil, yg ngk2 aja tuh si RK nngerancang masjid koq kaya gitu",benci bgt gw lihat masjid orange itu masjid koq modelnya kaya kuil yg ngk aja tuh si RK nngerancang masjid koq kaya gitu,benci bgt gw lihat masjid orange itu masjid koq modelnya kaya kuil yg ngk aja tuh si rk nngerancang masjid koq kaya gitu,"['benci', 'bgt', 'gw', 'lihat', 'masjid', 'orange', 'itu', 'masjid', 'koq', 'modelnya', 'kaya', 'kuil', 'yg', 'ngk', 'aja', 'tuh', 'si', 'rk', 'nngerancang', 'masjid', 'koq', 'kaya', 'gitu']","['benci', 'bgt', 'gw', 'lihat', 'masjid', 'orange', 'masjid', 'koq', 'modelnya', 'kaya', 'kuil', 'yg', 'ngk', 'aja', 'tuh', 'si', 'rk', 'nngerancang', 'masjid', 'koq', 'kaya', 'gitu']",benci bgt gw lihat masjid orange masjid koq model kaya kuil yg ngk aja tuh si rk nngerancang masjid koq kaya gitu
Masjid nya norak alay² gitu😂,Masjid nya norak alay gitu,masjid nya norak alay gitu,"['masjid', 'nya', 'norak', 'alay', 'gitu']","['masjid', 'nya', 'norak', 'alay', 'gitu']",masjid nya norak alay gitu
