stemming_data,sentiment_score,sentiment
jujur orang sulawesi selatan yg tuju bangun yg timbul laut karna indah kawasankarna kasihan yg hidup pinggir laut yg swmakin wilayah gerus alami abrasijangan karna penting wilayah mwngorbankan wilayah lainsungguh perintah yg otak lampau batas,0.0,netral
yap reklamasi cpi tuju utk tanggul air laut jaga kalo bencana air rob muka timbul bencana,0.0,netral
klw orang makassar asli tuju dgn bangun reklamasi salah satu cpi yg sedia lahan kota makssar yg luas tarik byk investor makassar yg reklamasi jg bentuk labuh makassar new port labuh internasional besar indonesia berkat tanah reklamasi dukung sja selagi iti kota makassar maju,0.13636363636363635,positif
kota daeng kuliah pantai losari meja semen nikmat suasana malam makan khas makassar yg nama ujung pandang pisang epe tdk lupa coto mangkasara yg enak tuju bangun makassar tingkat reklamasi sesuai amdal,0.0,netral
celebesewako si sirik tanda senang komentar atas karna sisi sirik makassar karna kota tdk bikin,0.0,netral
normal tuju kalo tuju pake banget kalo kelolah makassar keren sayang pemprov pemkot mkaassar tdk manfaat posisi makassar daerah transit bikin singapore dubai,0.15,positif
baik makassar malaysia,0.0,netral
reklamasi jakarta inisiatif inisiatif naga sembilan kuasa nkri kevuali pindah rakyat pribumi yanf kumuh dki hidup gang gang kelinci padat kumuh sehat sayasetuju orang china bedol desa china jajah terhadsp nkri nkri jajah bangsa aasing,0.0,netral
benci bgt gw lihat masjid orange masjid koq model kaya kuil yg ngk aja tuh si rk nngerancang masjid koq kaya gitu,0.0,netral
masjid nya norak alay gitu,0.0,netral
alas reklamasi makassar habis lahan kosong jakarta singapura,-0.4,negatif
rusak ekosistem laut,0.0,netral
daratane duwur opo ora kui nko klelep wes bangun gedung duwur entek akeh ko klelep rugi,0.0,netral
bagunan dipilihara indah lanjut makassar,0.0,netral
cina yg,0.0,netral
yg butuh makassar kawasan industri tambah gedung cakar langit yg tambah,0.0,netral
klo adah crita gowa dn makasar trllu lbihkan dn tdak logika infox,0.0,netral
alhamdulillah makassar maju mayoritas masyarakat sulawesi selatan dukung bangun kota makassar ikonik tolak ukur bangun kawasan indonesia timur,0.0,netral
wow keren tinggal makassar thn kota makassar kembang pesat bangun teras pantai losari,0.1,positif
balik bangun indah nelayan yg rugi orang asli sulawesi tuju,0.0,netral
sayang laut kotor jorok sampah,0.0,netral
hal reklamasi pantai jakarta makmur bikin hidup mewah lanjut warga turun tionghoa cina beli nasib pribumi tonton negeri sendirikacung aseng kacung asing negeri,0.0,netral
mesti jln protokol makassar bangun terowongan jalur kabel pln pipa pdam makassar,0.0,netral
alhamdulillah pantai losaril makasar sulsel moga manfaat berkah keluarga mua wni nkri cinta indonesia timur aamiin terimakasih salam jakarta indonesia,0.0,netral
liat rumah cpi,0.0,netral
juta kubik tanah,0.0,netral
alam rusak,0.0,netral
masjid amirul muminin sekitar patung berhala mesti nama rubah masjid amirul musryikin hina rendah amirul mukminin berantas patung patung berhala berhala,0.0,netral
bagus sulawesi selatan maju jakarta koruptor,0.0,netral
ny barack asia obamas,0.0,netral
besibesi yg dipake rangka beton dimakassar pabrik daur ulang besi bekasmaka mudah laksana,0.0,netral
iya makassar biasa pakai campur semen buat yaitupasir silikatanah merah zat kimia nitro apaitu zulfat bangun mangkrakapa infrastruktur kota bangun bahan alam makasar kecuali zat kimia rangka besi beton amien,0.0,netral
makassar kalah jakarta,0.0,netral
ya iya semut vs gajah,0.0,netral
mantap bang alhamdulillah sholat mesjid kubah mesjid trapung,0.0,netral
mantab hooh jakarta atuh sonoh pegi dr jakarta,0.0,netral
reklmasi jakarta ikut ide gagasn ahok bagus karna manusia bodok pandai teori jabat reklamasi jakarta langsung kembang tangan orang pandai bacot kerja ngaur,0.0,netral
liat ngerasa jakarta kalah,0.0,netral
pret kalah nya gin nih orangorang makladesh suka ngimpi klo ngomong,0.0,netral
celebesewako rapihan makassar bang turut coba aja kesini jakarta utara semrawut tanggul rob aja retak liat gedung aja,0.0,netral
jarrotalbinomekladeshia yg kumuh indonesia wilayah makladesh kumuh baca berita,0.0,netral
buang anggar negara darat bangunnnkenapa timbun lucu indo pantai kosong,0.0,netral
tuju,0.0,netral
indah makassar rusak lingkung reklamasi datar daerah negara batas indah sulsel rata bangun daerah yg dekat ibukota prov jamin transportasi singkat daerah bangun pusat makassar sya ruas jalan tdk pada tampung kendara pribadi unjung kota,0.0,netral
tanda infrastruktur makasar buruk,0.0,netral
celebesewako bangun infrastruktur makassar ugalan fungsi sesuai harap makassar maju tata kota yg bobrok,0.0,netral
jujur kota kelas makasar surabaya bandung kalah kota no surabaya yg masuk top kota china dr segi gdp infrastruktur kota no china padet apartemen office tower banding makasar setu makasar benah hh lope makassar,0.5,positif
sama mekasar dgn bandung medan surabaya semarang palembang batam super maju mekasar bangladesh nya indonesia timur tinggal miskin infrastruktur duduk ekonomi nya tinggal negaranegara maju pulau jawa sumatera makasar makladesh timur kelas kota balikpapan pontianak manado jayapura infrastruktur ekonomi duduk,0.3333333333333333,positif
kalah pik,0.0,netral
salam kenal kota daeng makassar,0.0,netral
salam kenal,0.0,netral
afachannelni video hoax sampah gak mutu jgn suka bikin video yg sesat ko kena tulah,0.0,netral
daratanya aj tanah kosong,0.0,netral
,0.0,netral
tanda masyarakat sulawesi selatan milik hidup layak prioritas,0.0,netral
pamor pantai losari hilang,0.0,netral
bangun tuju cantik tuju bisnis utk kembang yg mampuh belih org duit doang china org miskin usir halus,0.0,netral
bangga suku makassar,0.0,netral
kalo jalan panlos reklamasi isi istana presiden masjid rumah ciputra,0.0,netral
sy tuju kalo situ penuh dgn gedung cakar langitbiar makassar lbh keren,0.0,netral
makassar is the best,1.0,positif
z orang ntt tinggal sulsel jujur bangun infrastruktur provinsi sulsel fokus kota makassar tpi klo kota kabupaten parah coba pergi jln kota kabupaten hancur jalan,0.0,netral
sentuh bangun,0.0,netral
tdk ngaruhji adaji riset amanji mi asbun kayak sok paham cantik kota ku mi kayak org tdk menger sekolah ki komen,0.0,netral
jgn senang dlu kalaw bnyak proyek yg kerja karna dstu ad peluang korps,0.0,netral
