id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"@user-ss8sg3qh9m","Jujur saya orang sulawesi selatan yg sebenarnya sangat tidak menyetujui pembangunan seperti ini yg menimbul laut hanya karna memperindah suatu kawasan.karna kasihan mereka yg hidup di pinggir laut yg swmakin lama wilayah mereka semakin tergerus atau mengalami abrasi.jangan hanya karna kepentingan suatu wilayah akhirnya mwngorbankan banyak wilayah lain.sungguh pemerintahan yg otaknya sudah melampaui batas.","UgwFwfsTqKpSwoALWTR4AaABAg","",42,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwFwfsTqKpSwoALWTR4AaABAg","2024-05-08 07:50:56",251,"Jujur saya orang sulawesi selatan yg sebenarnya sangat tidak menyetujui pembangunan seperti ini yg menimbul laut hanya karna memperindah suatu kawasan.karna kasihan mereka yg hidup di pinggir laut yg swmakin lama wilayah mereka semakin tergerus atau mengalami abrasi.jangan hanya karna kepentingan suatu wilayah akhirnya mwngorbankan banyak wilayah lain.sungguh pemerintahan yg otaknya sudah melampaui batas.","http://www.youtube.com/@user-ss8sg3qh9m",
2,"@celebesewako6816","Yap benar sekali Reklamasi cpi dibuat bertujuan utk menanggul air laut yang terus naik jaga² kalo bencana air rob tiba² naik kepermukaan menimbulkan bencana","UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3B0yEZbaLj","@user-ss8sg3qh9m",14,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3B0yEZbaLj","2024-05-08 10:41:22",0,"Yap benar sekali Reklamasi cpi dibuat bertujuan utk menanggul air laut yang terus naik jaga² kalo bencana air rob tiba² naik kepermukaan menimbulkan bencana","http://www.youtube.com/@celebesewako6816",
3,"@azrielmuhammad1134","Klw saya orang makassar asli setuju saja dgn pembangunan /reklamasi ini ,,salah satunya CPI yg bisa menyediakan lahan kota makssar yg lebih luas serta akan menarik byk investor ke makassar, yg kedua reklamasi jg membentuk pelabuhan baru Makassar new port yaitu pelabuhan internasional terbesar ke 2 indonesia.. itu semua berkat tanah reklamasi,, Saya dukung sja selagi iti membuat kota makassar menjadi maju👍","UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3B0yO5n2zZ","@user-ss8sg3qh9m",29,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3B0yO5n2zZ","2024-05-08 10:41:24",0,"Klw saya orang makassar asli setuju saja dgn pembangunan /reklamasi ini ,,salah satunya CPI yg bisa menyediakan lahan kota makssar yg lebih luas serta akan menarik byk investor ke makassar, yg kedua reklamasi jg membentuk pelabuhan baru Makassar new port yaitu pelabuhan internasional terbesar ke 2 indonesia.. itu semua berkat tanah reklamasi,, Saya dukung sja selagi iti membuat kota makassar menjadi maju👍","http://www.youtube.com/@azrielmuhammad1134",
4,"@gunasmathias259","Saya cukup lama berada di kota Daeng, waktu saya kuliah di sana, Pantai Losari masih merupakan meja semen panjang tempat kami menikmati suasana malam dengan makanan khas Makassar yg ketika itu bernama Ujung Pandang. Pisang Epe tdk akan terlupakan, Coto Mangkasara yg enak. Saya setuju jika pembangunan di Makassar lebih ditingkatkan lagi, termasuk Reklamasi, namun harus sesuai AMDAL.","UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3B6qVYVSO2","@user-ss8sg3qh9m",8,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3B6qVYVSO2","2024-05-08 11:32:45",0,"Saya cukup lama berada di kota Daeng, waktu saya kuliah di sana, Pantai Losari masih merupakan meja semen panjang tempat kami menikmati suasana malam dengan makanan khas Makassar yg ketika itu bernama Ujung Pandang. Pisang Epe tdk akan terlupakan, Coto Mangkasara yg enak. Saya setuju jika pembangunan di Makassar lebih ditingkatkan lagi, termasuk Reklamasi, namun harus sesuai AMDAL.","http://www.youtube.com/@gunasmathias259",
5,"@FloresMayo-lo6ww","​@@celebesewako6816, Ada lagi si sirik tanda tak mampu.. ,pasti kamu senang dengan komentar seperti diatas.. karna di sisi inilah kamu sirik dengan Makassar... Karna kotamu TDK bisa bikin seperti itu.. 😅😅","UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3BNj_roZxy","@user-ss8sg3qh9m",6,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3BNj_roZxy","2024-05-08 14:00:21",0,"​@@celebesewako6816, Ada lagi si sirik tanda tak mampu.. ,pasti kamu senang dengan komentar seperti diatas.. karna di sisi inilah kamu sirik dengan Makassar... Karna kotamu TDK bisa bikin seperti itu.. 😅😅","http://www.youtube.com/@FloresMayo-lo6ww",
6,"@FloresMayo-lo6ww","Normal ada yang setuju ada yang tidak.. kalo saya sangat setuju pake banget lagi.. ! Apalagi kalo di kelolah dengan baik pasti Makassar bakal tambah keren. Sayangnya pemprov dan Pemkot mkaassar TDK bisa memanfaatkan posisi Makassar sebagai daerah transit. Bisa di bikin seperti Singapore dan Dubai.","UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3BOHo-i6AI","@user-ss8sg3qh9m",4,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwFwfsTqKpSwoALWTR4AaABAg.A3AiSoo6yu1A3BOHo-i6AI","2024-05-08 14:05:10",0,"Normal ada yang setuju ada yang tidak.. kalo saya sangat setuju pake banget lagi.. ! Apalagi kalo di kelolah dengan baik pasti Makassar bakal tambah keren. Sayangnya pemprov dan Pemkot mkaassar TDK bisa memanfaatkan posisi Makassar sebagai daerah transit. Bisa di bikin seperti Singapore dan Dubai.","http://www.youtube.com/@FloresMayo-lo6ww",
7,"@kivieee","terbaiklah Makassar Malaysia 🎉","UgxaosTkXf77qeamV554AaABAg","",1,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgxaosTkXf77qeamV554AaABAg","2024-06-20 01:19:09",0,"terbaiklah Makassar Malaysia 🎉","http://www.youtube.com/@kivieee",
8,"@achmaddjuhamsa8619","Reklamasi Jakarta itu atas inisiatif siapa ? Apakah inisiatif naga sembilan yang ingin menguasai NKRI ? Kevuali ingin memindahkan rakyat pribumi yanf kumuh di DKI yang hidup di gang gang kelinci yang padat, kumuh dan tidak sehat , kalau itu sayasetuju, tapi hanya untuk orang2 china yang bedol desa dari china sana tentu itu hanya penjajahan terhadsp NKRI ! Jangan sampai NKRI ini dijajah terus oleh bangsa aasing..!!!","Ugwp08NbM2vbPMX1S2d4AaABAg","",1,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugwp08NbM2vbPMX1S2d4AaABAg","2024-06-19 22:38:59",0,"Reklamasi Jakarta itu atas inisiatif siapa ? Apakah inisiatif naga sembilan yang ingin menguasai NKRI ? Kevuali ingin memindahkan rakyat pribumi yanf kumuh di DKI yang hidup di gang gang kelinci yang padat, kumuh dan tidak sehat , kalau itu sayasetuju, tapi hanya untuk orang2 china yang bedol desa dari china sana tentu itu hanya penjajahan terhadsp NKRI ! Jangan sampai NKRI ini dijajah terus oleh bangsa aasing..!!!","http://www.youtube.com/@achmaddjuhamsa8619",
9,"@OreoBili-fs4bz","benci bgt gw lihat masjid orange itu, masjid koq modelnya kaya kuil, yg ngk2 aja tuh si RK nngerancang masjid koq kaya gitu","Ugwy4ASfIMqE6wPsYi14AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugwy4ASfIMqE6wPsYi14AaABAg","2024-06-18 06:05:19",1,"benci bgt gw lihat masjid orange itu, masjid koq modelnya kaya kuil, yg ngk2 aja tuh si RK nngerancang masjid koq kaya gitu","http://www.youtube.com/@OreoBili-fs4bz",
10,"@celebesewako6816","Masjid nya norak alay² gitu😂","Ugwy4ASfIMqE6wPsYi14AaABAg.A4p5yC9wmiuA4ufRmv6fWw","@OreoBili-fs4bz",1,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugwy4ASfIMqE6wPsYi14AaABAg.A4p5yC9wmiuA4ufRmv6fWw","2024-06-20 10:00:16",0,"Masjid nya norak alay² gitu😂","http://www.youtube.com/@celebesewako6816",
